Hotel_Name,Reviewer_Score,Total_Number_of_Reviews,lat,lng,Hotel_ID,Total_Reviews_Found
Hotel Arena,2.9,1403,52.3605759,4.9159683,Hotel Arena_52.361_4.916,405.0
K K Hotel George,9.6,1831,51.4918878,-0.1949706,K K Hotel George_51.492_-0.195,566.0
Apex Temple Court Hotel,9.2,2619,51.5137335,-0.1087512,Apex Temple Court Hotel_51.514_-0.109,1037.0
The Park Grand London Paddington,8.3,4380,51.5142184,-0.1809032,The Park Grand London Paddington_51.514_-0.181,1770.0
Monhotel Lounge SPA,9.2,171,48.8743481,2.2897334,Monhotel Lounge SPA_48.874_2.29,35.0
Kube Hotel Ice Bar,3.3,197,48.88657,2.3588332,Kube Hotel Ice Bar_48.887_2.359,19.0
The Principal London,7.1,3150,51.5226217,-0.1251602,The Principal London_51.523_-0.125,1425.0
Park Plaza County Hall London,5.0,6117,51.5014001,-0.1160092,Park Plaza County Hall London_51.501_-0.116,2223.0
One Aldwych,5.4,259,51.5117832,-0.1194172,One Aldwych_51.512_-0.119,136.0
Splendid Etoile,7.5,486,48.874707,2.2936761,Splendid Etoile_48.875_2.294,127.0
Hotel Trianon Rive Gauche,10.0,967,48.8487675,2.3410376,Hotel Trianon Rive Gauche_48.849_2.341,218.0
InterContinental London Park Lane,9.6,510,51.5038632,-0.1504132,InterContinental London Park Lane_51.504_-0.15,160.0
Novotel Suites Paris Nord 18 me,7.5,1082,48.9015941,2.3597783,Novotel Suites Paris Nord 18 me_48.902_2.36,180.0
Grand Royale London Hyde Park,7.1,6539,51.5109945,-0.1863417,Grand Royale London Hyde Park_51.511_-0.186,2958.0
Milestone Hotel Kensington,10.0,209,51.5020425,-0.1866541,Milestone Hotel Kensington_51.502_-0.187,86.0
Crowne Plaza London Kings Cross,5.8,2312,51.5263854,-0.1136042,Crowne Plaza London Kings Cross_51.526_-0.114,1007.0
Select Hotel,9.6,1145,48.8483053,2.3425596,Select Hotel_48.848_2.343,256.0
H tel De Vend me,8.8,425,48.8668564,2.3286339,H tel De Vend me_48.867_2.329,89.0
Pullman Paris Centre Bercy,9.6,1382,48.8315204,2.3870797,Pullman Paris Centre Bercy_48.832_2.387,224.0
Gardette Park Hotel,9.6,1011,48.8610265,2.3788974,Gardette Park Hotel_48.861_2.379,179.0
Hotel Panache,6.3,371,48.8732543,2.343239,Hotel Panache_48.873_2.343,82.0
H tel des Ducs D Anjou,5.4,552,48.8598229,2.347111,H tel des Ducs D Anjou_48.86_2.347,108.0
Hotel Scribe Paris Opera by Sofitel,8.8,705,48.8704175,2.3296832,Hotel Scribe Paris Opera by Sofitel_48.87_2.33,135.0
Novotel London West,3.8,2443,51.4919588,-0.2200956,Novotel London West_51.492_-0.22,1283.0
Haymarket Hotel,10.0,255,51.5084595,-0.1311382,Haymarket Hotel_51.508_-0.131,121.0
Intercontinental London The O2,5.8,4204,51.5024348,-0.0002497,Intercontinental London The O2_51.502_-0.0,2551.0
H tel Juliana Paris,10.0,577,48.8619373,2.3040298,H tel Juliana Paris_48.862_2.304,169.0
Hotel L Antoine,9.6,796,48.8524215,2.3743832,Hotel L Antoine_48.852_2.374,171.0
Belfast,9.6,337,48.8756435,2.2938788,Belfast_48.876_2.294,86.0
Shangri La Hotel Paris,9.2,174,48.8637135,2.2934759,Shangri La Hotel Paris_48.864_2.293,46.0
Mercure Paris Tour Eiffel Pont Mirabeau,7.5,259,48.8460269,2.2788281,Mercure Paris Tour Eiffel Pont Mirabeau_48.846_2.279,70.0
Knightsbridge Hotel,10.0,473,51.4980052,-0.1643238,Knightsbridge Hotel_51.498_-0.164,173.0
The London EDITION,9.6,372,51.5167472,-0.135965,The London EDITION_51.517_-0.136,141.0
The Cranley Hotel,5.0,388,51.4916378,-0.1832833,The Cranley Hotel_51.492_-0.183,160.0
Hotel Le 10 BIS,10.0,196,48.8780363,2.2864907,Hotel Le 10 BIS_48.878_2.286,49.0
The Nadler Soho,9.6,1394,51.5147387,-0.1341108,The Nadler Soho_51.515_-0.134,491.0
Grange St Paul s Hotel,7.1,2635,51.5127625,-0.0997157,Grange St Paul s Hotel_51.513_-0.1,1154.0
The Ampersand Hotel,9.6,902,51.4943077,-0.1755579,The Ampersand Hotel_51.494_-0.176,382.0
Covent Garden Hotel,9.6,158,51.5145986,-0.1270336,Covent Garden Hotel_51.515_-0.127,74.0
The Nadler Victoria,9.6,1608,51.4990259,-0.1427453,The Nadler Victoria_51.499_-0.143,601.0
Novotel London Tower Bridge,4.6,1082,51.5106538,-0.0773676,Novotel London Tower Bridge_51.511_-0.077,389.0
Crowne Plaza Paris R publique,7.5,1053,48.8673199,2.3656296,Crowne Plaza Paris R publique_48.867_2.366,212.0
Le Metropolitan a Tribute Portfolio Hotel,8.3,286,48.8656973,2.2829776,Le Metropolitan a Tribute Portfolio Hotel_48.866_2.283,66.0
Atala Champs Elys es,4.2,123,48.8735418,2.302442,Atala Champs Elys es_48.874_2.302,29.0
H tel de Jos phine BONAPARTE,7.1,240,48.8555319,2.3621212,H tel de Jos phine BONAPARTE_48.856_2.362,76.0
Maison Souquet,9.6,282,48.88366,2.3313845,Maison Souquet_48.884_2.331,91.0
Hotel Tour d Auvergne Opera,8.3,164,48.8789432,2.3448623,Hotel Tour d Auvergne Opera_48.879_2.345,25.0
Le Senat,9.6,549,48.8491427,2.3397118,Le Senat_48.849_2.34,120.0
Windsor Opera,10.0,168,48.8734851,2.3485111,Windsor Opera_48.873_2.349,34.0
Holiday Inn Paris Montparnasse Pasteur,4.6,344,48.8376887,2.3063102,Holiday Inn Paris Montparnasse Pasteur_48.838_2.306,37.0
H tel Keppler,9.6,338,48.8699103,2.2973386,H tel Keppler_48.87_2.297,95.0
Les Plumes Hotel,9.6,514,48.8766269,2.3432886,Les Plumes Hotel_48.877_2.343,113.0
Hotel des Tuileries Relais du Silence,7.5,446,48.8661705,2.331561,Hotel des Tuileries Relais du Silence_48.866_2.332,91.0
Bradford Elys es Astotel,10.0,234,48.8729676,2.3081178,Bradford Elys es Astotel_48.873_2.308,82.0
W London Leicester Square,9.2,863,51.510843,-0.1314287,W London Leicester Square_51.511_-0.131,267.0
The Victoria,10.0,272,51.4611219,-0.2756216,The Victoria_51.461_-0.276,162.0
Pullman London St Pancras,7.5,3168,51.5286766,-0.1283489,Pullman London St Pancras_51.529_-0.128,1242.0
Crowne Plaza London Kensington,10.0,743,51.495179,-0.183827,Crowne Plaza London Kensington_51.495_-0.184,305.0
Doubletree by Hilton London Kensington,5.4,2367,51.4925138,-0.1787917,Doubletree by Hilton London Kensington_51.493_-0.179,1009.0
Ace Hotel London Shoreditch,7.9,1593,51.5254162,-0.0772849,Ace Hotel London Shoreditch_51.525_-0.077,514.0
Staybridge Suites London Vauxhall,8.8,742,51.4891226,-0.1205639,Staybridge Suites London Vauxhall_51.489_-0.121,244.0
